Station Name,Latitude,Longitude,Number of Bikes,Station ID
One Broadway / Kendall Sq at Main St / 3rd St,42.36224178650923,-71.0831107199192,23,718c75a2793e082b583eb41ef8344998
Harvard Kennedy School at Bennett St / Eliot St,42.3722168027866,-71.12188071012497,23,69d4f5841da11d211bd8329ab559ae68
Stony Brook T Stop,42.316966,-71.104374,19,969c73f46d2f1b00fa1347cbf0930e3b
Mass Ave T Station,42.34135615767354,-71.08336953450817,14,2fa11633436ad015c40f55b2230a934d
Charlestown Navy Yard,42.374124549426526,-71.05481199938367,23,bfd39deba9eaf0ee1414ab380cde84e2
Bennington St at Constitution Beach,42.385223935870535,-71.01063068965232,17,554ea90f967ccd7475e5c1114706f83b
Mattapan Library,42.2773889,-71.09325,15,7007f81362e1587f64c0fbfadf25b22a
Codman Square Library,42.2873611,-71.071111,17,2edf71db4c26403eb1a11b61f2a3361e
One Brigham Circle,42.333922701369964,-71.10446508982932,15,84d2e139470f4ad898c3eed7582aa63f
Medford St at Charlestown BCYF,42.380429474494896,-71.06055721676967,19,720d74e505e763b75d87e20e94201f88
Cross St at Hanover St,42.362811,-71.056067,19,4bf16679e6286a5cb72c1ae4526a3107
Dudley Square - Bolling Building,42.329842993518085,-71.08386572459494,18,2c9673616d210024b356d35b5dcc9692
W Broadway at Dorchester St,42.335958979433094,-71.04622899561036,17,15c6239bb6fdba5db9b441ea4c7694ca
Kennedy-Longfellow School 158 Spring St,42.36955297756508,-71.08579014980933,19,4cd1e9f309161524182f3b289aacc4ed
Discovery Park - 30 Acorn Park Drive,42.39790817368333,-71.14797130814623,23,0cfc11cbc3154390e0783e5e3a4441f1
Edgerly Education Center,42.38717463348314,-71.08714388528824,15,94cadf37da541c8efb38f5eb61a5b9ec
Stuart St at Berkeley St,42.34954403114251,-71.0724207387284,17,4aadce0983019fbad4868b249eca31f3
Congress St at Boston City Hall,42.36041774637169,-71.05752243543975,23,b7603039275c79d251ce77465451835f
Central Square East Boston,42.37544912547037,-71.03918548682486,15,a5b833831a8fc2b667fbf09894f2e01d
American Legion Hwy at Cummins Hwy,42.278811581565975,-71.11687703062671,15,fc1d2f7521518949d9e05738824a69cc
Surface Rd at Summer St,42.35294569782581,-71.05656400803126,26,3714ae87607d155f95be85badcf63d85
The Dimock Center,42.3193094317828,-71.09639923859504,16,682705cc2352e322168dfd520a43fed4
Jamaica St at South St,42.3060456272408,-71.11570891001975,19,b620991ddec43adcded54ce2d0a801bd
Centre St at W. Roxbury Post Office,42.286331991127746,-71.15344755369732,19,70c5f11e9cb1b10d53ca14cf9c270906
Centre St at Parkway YMCA,42.28277901074054,-71.15728851416861,19,da5c532de7335881c803bb0c6edd6187
Spring St at Powell St,42.277484442008216,-71.16341467955863,19,a45b2763eb84e37c3253d691793e64f5
Berkshire Street at Cambridge Street,42.37207657915397,-71.08995433905875,19,97bbb1ffbf3aa57b89b8ea6d96cfb852
University of Massachusetts Boston - Campus Center,42.31218918475612,-71.03648586203235,19,f218d7063b0b2efef761e9e74a435475
Maverick St at Massport Path,42.36774122306014,-71.0333597474255,15,fa5f34ab69f94ed966e4ec927e49cbd1
Boston Landing,42.356560923089404,-71.14167537549292,17,cf81abd79a805d80a0acdd937b642036
Sullivan Square,42.384452256358436,-71.07514854529654,19,85a335a007dec79a75612ddf9c983114
Whittier St Health Center,42.332862884862635,-71.09218861916816,19,095d4c6cb8bf7c88f3db55d1b65ca22e
Hyde Park Ave at Walk Hill St,42.29606704649873,-71.11601199963843,15,ce50027bd35ab0696f913a5824251cb8
Charles Circle - Charles St at Cambridge St,42.36079296858265,-71.07118962337152,19,1668c925d529390497c9464f08b57613
700 Commonwealth Ave.,42.34960945333059,-71.10391523698127,16,f07c1d1cec45c70a0978421f33fbc0ef
Geiger Gibson Community Health Center,42.31886468217537,-71.04536797860419,19,aa11612d2601810e571ca29ae73f4c53
Wilson Square,42.38567578752914,-71.11412136298895,15,c6ffb8fd91bc90f5485d92b241643892
Glendale Square (Ferry St at Broadway),42.41427294293992,-71.04479655659816,15,9293cffbb574306294ed270fc1ff103d
Brookline Village - Station Street at MBTA,42.33274392304887,-71.11626680949485,18,e87b9f4442359c5921ebff3cfdc79d71
Columbus Ave at W. Canton St,42.34474224772802,-71.07648162175792,19,f8dcb519a5af9972a48aaa75873a7da3
Washington St at Waltham St,42.341574718737476,-71.06890439987183,15,51de800a1840b4a6b2a271ca19243db4
Cambridge St at Joy St,42.36125721646537,-71.06528744101524,15,23b790b9b4670e3545c79aaf85d39378
Magoun Square at Trum Field,42.39778339961249,-71.10594004465383,14,2a75a9793da9b8ccadb3cd415ed425d4
Landmark Center - Brookline Ave at Park Dr,42.343690557197476,-71.10235286881107,15,bafb7ee08bd0293cabfcea906717bf7b
The Overlook at St. Gabriel's,42.34679008347347,-71.14549813806661,18,0ce75736538979dbe5f6ce7398327d6a
Boylston St at Massachusetts Ave,42.34740620525209,-71.08678414955648,15,26943bb9cd5ba6a8fe5c2ba60133240c
7 Acre Park,42.41143222973408,-71.06823265090497,15,b84ce527bb3adc5f5a1be2d35f8a32ea
Government Center - Cambridge St at Court St,42.3598253979878,-71.05979576244862,35,d8cdcd32f832e97e4d41d50dbbf9b119
Coolidge Sq.,42.372076114722866,-71.15683130688922,12,69e8614b772b98797bbd9680cabc742b
Watertown Sq,42.365260317694485,-71.18573324459247,15,358d7c6a3af2a223278c768cc6f02352
Graham and Parks School – Linnaean St at Walker St,42.38294430172271,-71.12449831038248,19,b9745227e3ce703f035e26051967bb54
Smith Pl at Wilson Rd,42.39239749145834,-71.15058331757609,19,c86418d7803faa6458577768e481af53
Gove St at Orleans St,42.37057753242139,-71.03558540113227,19,1ce3df227afc162221da825b5d64ed4b
MIT Hayward St at Amherst St,42.36085937353302,-71.08551858007559,27,dd80c15c07d623dc5d0ff21e444dfdcb
Arsenal Yards,42.36277388549605,-71.15764854490408,15,8ceebb2c5d7e650b98c1f357cc27ad1c
Swan St. Park,42.412504507772105,-71.05842225271772,15,8db92ea8de37e92a1a4dcc9ebfc38468
Wasgott Playground,42.4093300667225,-71.06381878293178,15,ac6226b7f47085f4285f0d328bd7dc3d
